Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9548,0.9152,0.9525,0.9335,134.16
SVM,0.9111,0.8938,0.8323,0.862,507.89
RF,0.9812,0.9789,0.9645,0.9716,86.75
KNN,0.9815,0.9717,0.9728,0.9723,0.02
NB,0.7867,0.6475,0.7904,0.7119,0.12
