model,clean_accuracy,clean_precision,clean_recall,clean_f1,asr_total,asr_benign,backdoor_effectiveness
mlp,0.9643303566964331,0.9233197758753093,0.9738705225895482,0.9479216854277079,0.999940000599994,0.9999550002249988,0.9642724974536238
svm,0.8518914810851892,0.8001231407369,0.740715185696286,0.7692739083700714,0.996940030599694,0.9961300193499032,0.8492847192206872
rf,0.991980080199198,0.9799362681458751,0.996340073198536,0.9880700919287181,0.999990000099999,0.9999850000749996,0.9919701604975931
knn,0.983530164698353,0.9712101835053386,0.9796304073918521,0.9754021237510642,0.999840001599984,0.9998050009749951,0.9833728014456338
