attack_type,accuracy,precision,recall,f1_score,stage1_rejections,stage2_classifications,stage1_percentage,stage2_percentage
clean,0.977210227897721,0.9391385502983681,0.996190076198476,0.9668234026756729,5000,95001,4.999950000499995,95.0000499995
poison_05,0.977210227897721,0.9391385502983681,0.996190076198476,0.9668234026756729,5000,95001,4.999950000499995,95.0000499995
poison_10,0.977210227897721,0.9391385502983681,0.996190076198476,0.9668234026756729,5000,95001,4.999950000499995,95.0000499995
poison_15,0.977210227897721,0.9391385502983681,0.996190076198476,0.9668234026756729,5000,95001,4.999950000499995,95.0000499995
poison_50,0.977210227897721,0.9391385502983681,0.996190076198476,0.9668234026756729,5000,95001,4.999950000499995,95.0000499995
gan_attack,0.8873411265887341,0.9183983012285758,0.7265854682906342,0.8113087461896626,2582,97419,2.5819741802581975,97.4180258197418
trigger_05,0.33333666663333367,0.33333666663333367,1.0,0.5000037499531256,100001,0,100.0,0.0
trigger_10,0.33333666663333367,0.33333666663333367,1.0,0.5000037499531256,100001,0,100.0,0.0
trigger_15,0.33333666663333367,0.33333666663333367,1.0,0.5000037499531256,100001,0,100.0,0.0
