Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9513,0.9247,0.9294,0.9271,130.84
SVM,0.9218,0.9043,0.8558,0.8794,478.33
RF,0.9726,0.9801,0.937,0.958,91.35
KNN,0.9786,0.974,0.9615,0.9677,0.02
NB,0.7799,0.6353,0.7975,0.7073,0.11
