Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9534,0.9394,0.9195,0.9293,128.28
SVM,0.9218,0.9043,0.8558,0.8794,422.51
RF,0.9726,0.9801,0.937,0.958,90.63
KNN,0.9786,0.974,0.9615,0.9677,0.03
NB,0.7799,0.6353,0.7975,0.7073,0.13
