Model,Accuracy,Precision,Recall,F1-Score,Time(s)
MLP,0.975,0.9539,0.9719,0.9628,127.98
SVM,0.907,0.8515,0.8735,0.8623,254.15
RF,0.9847,0.9761,0.9781,0.9771,44.75
KNN,0.9829,0.9701,0.9788,0.9744,0.01
NB,0.7919,0.656,0.7896,0.7166,0.09
