Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9743,0.9530,0.9709,0.9618,132.62
SVM,0.9162,0.8626,0.8905,0.8763,267.32
RF,0.9855,0.9776,0.9789,0.9783,70.43
KNN,0.9828,0.9706,0.9780,0.9743,0.02
NB,0.7809,0.6359,0.8015,0.7092,0.12
