model,clean_accuracy,clean_precision,clean_recall,clean_f1,asr_total,asr_benign,backdoor_effectiveness
mlp,0.9713302866971331,0.9550981387984345,0.9590808183836323,0.9570853353690482,0.999990000099999,0.9999850000749996,0.9713205734913982
svm,0.8494915050849492,0.7873510828906422,0.75142497150057,0.768968640152271,0.9976300236997631,0.9965650171749141,0.8474782303506453
rf,0.991610083899161,0.9787265387901823,0.996490070198596,0.9875284289388016,1.0,1.0,0.991610083899161
knn,0.98360016399836,0.9706563706563707,0.9804403911921762,0.9755238493224285,0.99990000099999,0.9998500007499963,0.9835018049655505
