,precision,recall,f1-score,support
0,0.9179786693753175,0.9039759939984996,0.91092352274159,3999.0
1,0.867723045125732,0.886347642505278,0.8769364664926023,2842.0
accuracy,0.8966525361789212,0.8966525361789212,0.8966525361789212,0.8966525361789212
macro avg,0.8928508572505247,0.8951618182518888,0.8939299946170962,6841.0
weighted avg,0.8971006567869062,0.8966525361789212,0.8968040644957748,6841.0
