epoch,loss,val_loss
0,0.11858280748128891,0.023984484374523163
1,0.016357945278286934,0.012665715999901295
2,0.010134080424904823,0.008339590393006802
3,0.007215539459139109,0.006610925775021315
4,0.005687935743480921,0.005034883040934801
5,0.004208721220493317,0.00379765871912241
6,0.0033135858830064535,0.003114966442808509
7,0.0027461934369057417,0.0026162222493439913
8,0.002325350884348154,0.002217222237959504
9,0.0020290170796215534,0.00197560153901577
10,0.0018222300568595529,0.001774903037585318
11,0.0016449694521725178,0.0016071312129497528
12,0.0014922581613063812,0.001462053507566452
13,0.001354200066998601,0.0013247121823951602
14,0.001224512467160821,0.0011947243474423885
15,0.0011057491647079587,0.0010826389770954847
16,0.0009873963426798582,0.0009757314110174775
17,0.0008673409465700388,0.0008741704514250159
18,0.000780573405791074,0.0008062340202741325
19,0.0007174878264777362,0.0007492208387702703
