,precision,recall,f1-score,support
0,0.9983792544570502,0.9856,0.9919484702093398,5000.0
1,0.985781990521327,0.9984,0.9920508744038155,5000.0
accuracy,0.992,0.992,0.992,0.992
macro avg,0.9920806224891886,0.992,0.9919996723065776,10000.0
weighted avg,0.9920806224891887,0.992,0.9919996723065777,10000.0
