epoch,loss,accuracy,val_loss,val_accuracy
0,0.3939414918422699,0.8729629516601562,0.9631644487380981,0.4883333444595337
1,0.36700233817100525,0.8859999775886536,0.3627685606479645,0.8840000033378601
2,0.3617008924484253,0.8874815106391907,0.34653347730636597,0.8933333158493042
3,0.3585819900035858,0.8884444236755371,0.3529527187347412,0.8896666765213013
4,0.3562525808811188,0.8891851902008057,0.3440624177455902,0.8930000066757202
5,0.3522285521030426,0.8902962803840637,0.3436368703842163,0.8939999938011169
6,0.3531864881515503,0.8900370597839355,0.33680659532546997,0.8956666588783264
7,0.3518775701522827,0.8905925750732422,0.892233669757843,0.5943333506584167
8,0.34983736276626587,0.8910740613937378,0.3345324993133545,0.8956666588783264
9,0.3497227430343628,0.8910740613937378,0.33818522095680237,0.8953333497047424
10,0.3487907648086548,0.8915185332298279,0.38480284810066223,0.875
11,0.3497069478034973,0.8912592530250549,0.6807050704956055,0.6600000262260437
12,0.349410742521286,0.8908148407936096,0.3399302363395691,0.8926666378974915
13,0.35070720314979553,0.890999972820282,0.3384101092815399,0.8920000195503235
