epoch,loss,accuracy,val_loss,val_accuracy
0,0.2796897292137146,0.923370361328125,0.2403472512960434,0.937666654586792
1,0.2522496283054352,0.9348518252372742,0.39263594150543213,0.8659999966621399
2,0.24216870963573456,0.9372962713241577,0.23348574340343475,0.9353333115577698
3,0.24050423502922058,0.9375185370445251,0.23543725907802582,0.9319999814033508
4,0.23648737370967865,0.9390740990638733,0.2388426512479782,0.9359999895095825
5,0.2363699972629547,0.9386666417121887,0.22044417262077332,0.9423333406448364
6,0.23412960767745972,0.9399629831314087,0.22355599701404572,0.9413333535194397
7,0.2340577244758606,0.9395185112953186,0.22149045765399933,0.9430000185966492
8,0.23061725497245789,0.9409258961677551,0.22579646110534668,0.9403333067893982
9,0.23090903460979462,0.9407777786254883,0.2287627011537552,0.9430000185966492
10,0.23100078105926514,0.9398148059844971,0.2214987576007843,0.9436666369438171
