epoch,loss,val_loss
0,0.11534113436937332,0.024592239409685135
1,0.016358574852347374,0.012069420889019966
2,0.009735951200127602,0.008287535049021244
3,0.00693037174642086,0.005810397677123547
4,0.004789928440004587,0.004038228187710047
5,0.0036484573502093554,0.0032700789161026478
6,0.0030293543823063374,0.0027628829702734947
7,0.002577200997620821,0.0023778737522661686
8,0.002228633500635624,0.0020872834138572216
9,0.0019640035461634398,0.0018566350918263197
10,0.0017653583781793714,0.0016830411041155457
11,0.0016097360057756305,0.00154141488019377
12,0.001475550583563745,0.001416230807080865
13,0.0013389497762545943,0.0012932525714859366
14,0.0012060987064614892,0.001176531077362597
15,0.0010900801280513406,0.0010647338349372149
16,0.00097925856243819,0.0009566545486450195
17,0.0008699485333636403,0.0008494498324580491
18,0.0007718769484199584,0.0007615523645654321
19,0.0006939458544366062,0.0006926776259206235
20,0.000632462149951607,0.0006383034633472562
21,0.0005828223656862974,0.000593390897847712
22,0.0005399652291089296,0.0005535109667107463
23,0.0005027142469771206,0.0005184242036193609
24,0.00046988646499812603,0.0004854072176385671
25,0.00044035475002601743,0.00045583059545606375
26,0.000413895322708413,0.0004294863319955766
27,0.00039069485501386225,0.0004047501424793154
28,0.00036990217631682754,0.000383134582079947
29,0.0003514158888719976,0.0003630098653957248
30,0.00033519379212521017,0.0003433074743952602
31,0.0003201824438292533,0.00032628304325044155
32,0.0003064741031266749,0.00031001679599285126
33,0.0002939096884801984,0.0002956009702757001
34,0.00028160284273326397,0.0002816012129187584
35,0.00027052583754993975,0.0002692410780582577
36,0.0002597482525743544,0.00026039316435344517
37,0.00025151472073048353,0.0002506964956410229
38,0.0002444791607558727,0.00024202953500207514
39,0.00023727795633021742,0.00023473460169043392
40,0.00023089976457413286,0.00022734128287993371
41,0.0002249194512842223,0.00022065837401896715
42,0.00021988520165905356,0.00021450486383400857
43,0.00021410363842733204,0.00020799957565031946
44,0.00020921560644637793,0.00020223416504450142
45,0.00020463306282181293,0.0001980062370421365
46,0.00020009843865409493,0.00019323002197779715
47,0.00019619787053670734,0.0001878127222880721
48,0.0001918362540891394,0.00018322636606171727
49,0.00018814843497239053,0.00017937719530891627
