,precision,recall,f1-score,support
0,0.9049738219895288,0.8644661165291323,0.8842562987594321,3999.0
1,0.8205892088712347,0.8722730471498944,0.8456421627153334,2842.0
accuracy,0.8677093992106417,0.8677093992106417,0.8677093992106417,0.8677093992106417
macro avg,0.8627815154303817,0.8683695818395134,0.8649492307373827,6841.0
weighted avg,0.8699173871872787,0.8677093992106417,0.86821458341996,6841.0
