,precision,recall,f1-score,support
0,0.9993894993894994,0.9822,0.9907201936655236,5000.0
1,0.9825009830908376,0.9994,0.9908784453698195,5000.0
accuracy,0.9908,0.9908,0.9908,0.9908
macro avg,0.9909452412401685,0.9907999999999999,0.9907993195176715,10000.0
weighted avg,0.9909452412401685,0.9908,0.9907993195176715,10000.0
