epoch,loss,accuracy,val_loss,val_accuracy
0,0.17541980743408203,0.9484444260597229,0.16923420131206512,0.953000009059906
1,0.14778433740139008,0.9589259028434753,0.14976951479911804,0.956333339214325
2,0.1431860774755478,0.9611481428146362,0.1416323482990265,0.9586666822433472
3,0.1400103121995926,0.9617407321929932,0.15178059041500092,0.9539999961853027
4,0.1361546367406845,0.9631481766700745,0.183491513133049,0.9359999895095825
5,0.13410064578056335,0.9640740752220154,0.13786494731903076,0.9623333215713501
6,0.13327497243881226,0.9640740752220154,0.1554473489522934,0.956333339214325
7,0.1314278095960617,0.9648148417472839,0.1410176306962967,0.9580000042915344
8,0.1297798454761505,0.9647407531738281,0.14077433943748474,0.9599999785423279
9,0.13042879104614258,0.9644814729690552,0.13976328074932098,0.9599999785423279
10,0.127947136759758,0.9653333425521851,0.20879632234573364,0.9143333435058594
