loss,accuracy,val_loss,val_accuracy
0.36237871646881104,0.9441031217575073,0.05363042280077934,0.9945429563522339
0.033341627568006516,0.9944633841514587,0.025882819667458534,0.9952251315116882
0.02173130214214325,0.9952218532562256,0.01989647001028061,0.9952251315116882
0.018025340512394905,0.996131956577301,0.016186967492103577,0.9952251315116882
0.015892796218395233,0.9965111613273621,0.014961019158363342,0.9965893626213074
0.01490835752338171,0.9968904256820679,0.013508894480764866,0.9965893626213074
0.014250741340219975,0.9969662427902222,0.011942851357161999,0.9972714781761169
0.013714475557208061,0.9969662427902222,0.011425248347222805,0.9972714781761169
0.012874316424131393,0.9971179366111755,0.017241351306438446,0.9945429563522339
0.012860244140028954,0.9966628551483154,0.011074046604335308,0.9965893626213074
0.012445409782230854,0.9968904256820679,0.011103961616754532,0.9972714781761169
0.01246795803308487,0.9971179366111755,0.012948128394782543,0.9959072470664978
