,precision,recall,f1-score,support
0,0.9166666666666666,0.8527131782945736,0.8835341365461846,3999.0
1,0.8112784363985902,0.8909218859957776,0.8492369612611101,2842.0
accuracy,0.8685864639672563,0.8685864639672563,0.8685864639672563,0.8685864639672563
macro avg,0.8639725515326284,0.8718175321451755,0.8663855489036474,6841.0
weighted avg,0.8728845660349063,0.8685864639672563,0.869285843583141,6841.0
