,precision,recall,f1-score,support
0,1.0,1.0,1.0,3999.0
1,1.0,1.0,1.0,2842.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,6841.0
weighted avg,1.0,1.0,1.0,6841.0
