,precision,recall,f1-score,support
0,0.9944862155388471,0.9922480620155039,0.9933658780823633,3999.0
1,0.9891266222378113,0.9922589725545391,0.9906903214473916,2842.0
accuracy,0.992252594649905,0.992252594649905,0.992252594649905,0.992252594649905
macro avg,0.9918064188883292,0.9922535172850215,0.9920280997648774,6841.0
weighted avg,0.9922596457154962,0.992252594649905,0.9922543546272268,6841.0
