loss,accuracy,val_loss,val_accuracy
0.37426409125328064,0.920894980430603,0.05354917794466019,0.9918144345283508
0.034327249974012375,0.9940083622932434,0.026690281927585602,0.9945429563522339
0.022516360506415367,0.9952218532562256,0.02073197066783905,0.9952251315116882
0.018504483625292778,0.9959802627563477,0.016580156981945038,0.9959072470664978
0.016185337677598,0.9964353442192078,0.015249788761138916,0.9965893626213074
0.015168614685535431,0.9968904256820679,0.013886562548577785,0.9965893626213074
0.014424470253288746,0.9969662427902222,0.012264889664947987,0.9972714781761169
0.01390211470425129,0.9969662427902222,0.011767207644879818,0.9972714781761169
0.013102391734719276,0.9971179366111755,0.016529973596334457,0.9952251315116882
0.013036614283919334,0.9968904256820679,0.011376420967280865,0.9965893626213074
0.0125932227820158,0.9969662427902222,0.011312713846564293,0.9972714781761169
0.012570385821163654,0.9968904256820679,0.01276437472552061,0.9959072470664978
0.012191706337034702,0.9972696304321289,0.014068414457142353,0.9952251315116882
