,precision,recall,f1-score,support
0,0.650197289414994,0.9477369342335584,0.7712657712657712,3999.0
1,0.7934782608695652,0.2825475017593244,0.41670991177996886,2842.0
accuracy,0.6713930711884227,0.6713930711884227,0.6713930711884227,0.6713930711884227
macro avg,0.7218377751422795,0.6151422179964414,0.5939878415228701,6841.0
weighted avg,0.7097214117470932,0.6713930711884227,0.6239703827759816,6841.0
