,precision,recall,f1-score,support
0,0.9991863303498779,0.9824,0.990722065348931,5000.0
1,0.982690794649882,0.9992,0.9908766362554542,5000.0
accuracy,0.9908,0.9908,0.9908,0.9908
macro avg,0.9909385624998799,0.9908,0.9907993508021926,10000.0
weighted avg,0.9909385624998799,0.9908,0.9907993508021926,10000.0
