epoch,loss,accuracy,val_loss,val_accuracy
0,0.09845992177724838,0.9739999771118164,0.10691443830728531,0.981333315372467
1,0.06644020974636078,0.9852592349052429,0.06397400796413422,0.9829999804496765
2,0.06075303256511688,0.9867777824401855,0.6930845379829407,0.703000009059906
3,0.05650113523006439,0.9876296520233154,0.04998123645782471,0.9896666407585144
4,0.055434562265872955,0.9884074330329895,0.046786561608314514,0.9896666407585144
5,0.05298532918095589,0.9888888597488403,0.0544823594391346,0.987333357334137
6,0.05054963380098343,0.989481508731842,0.0844821110367775,0.9803333282470703
7,0.0496574267745018,0.9893703460693359,0.05949753150343895,0.9883333444595337
8,0.0489349439740181,0.9899629354476929,0.04426261782646179,0.9903333187103271
9,0.04815273359417915,0.9900000095367432,0.07858941704034805,0.9786666631698608
10,0.04600165784358978,0.9904444217681885,0.1262570321559906,0.9869999885559082
11,0.046536657959222794,0.9902963042259216,0.06839212775230408,0.9850000143051147
12,0.04824342951178551,0.9901111125946045,0.04865849390625954,0.9896666407585144
13,0.0463855117559433,0.990407407283783,0.04862232133746147,0.9893333315849304
