,precision,recall,f1-score,support
0,0.9914722849260096,0.9884971242810703,0.9899824693213123,3999.0
1,0.9838822704975473,0.988036593947924,0.9859550561797753,2842.0
accuracy,0.9883058032451396,0.9883058032451396,0.9883058032451396,0.9883058032451396
macro avg,0.9876772777117784,0.9882668591144972,0.9879687627505438,6841.0
weighted avg,0.9883191171134544,0.9883058032451396,0.9883093355472664,6841.0
