,precision,recall,f1-score,support
0,0.6807099318752241,0.9494873718429607,0.7929414221572518,3999.0
1,0.8400633412509897,0.3733286418015482,0.5169305724725943,2842.0
accuracy,0.7101300979388978,0.7101300979388978,0.7101300979388978,0.7101300979388978
macro avg,0.7603866365631069,0.6614080068222544,0.6549359973149231,6841.0
weighted avg,0.7469111289876237,0.7101300979388978,0.6782764850422399,6841.0
