epoch,loss,val_loss
0,0.12394961714744568,0.026629822328686714
1,0.017181986942887306,0.012977872043848038
2,0.01028437353670597,0.00832279957830906
3,0.007018205709755421,0.006165077909827232
4,0.005203660577535629,0.004491983447223902
5,0.0037806134205311537,0.003291595261543989
6,0.0029028612188994884,0.002584271365776658
7,0.0023212439846247435,0.0021112733520567417
8,0.0019320130813866854,0.0017963340505957603
9,0.001678460743278265,0.001585107296705246
10,0.0014954425860196352,0.001394236576743424
11,0.0013391623506322503,0.0012643638765439391
12,0.0012341783149167895,0.0011679441668093204
13,0.0011514093494042754,0.001087832497432828
14,0.00108134385664016,0.0010147725697606802
15,0.001017263624817133,0.0009461537119932473
16,0.0009515405399724841,0.0008745884988456964
17,0.0008770465501584113,0.0007953642052598298
18,0.0007865949883125722,0.000699649506714195
19,0.0006739997770637274,0.000603008083999157
