,precision,recall,f1-score,support
0,0.9981770305853758,0.9856,0.9918486464727785,5000.0
1,0.9857791823029824,0.9982,0.9919507105237007,5000.0
accuracy,0.9919,0.9919,0.9919,0.9919
macro avg,0.991978106444179,0.9919,0.9918996784982396,10000.0
weighted avg,0.9919781064441792,0.9919,0.9918996784982396,10000.0
