,precision,recall,f1-score,support
0,0.6572965469373591,0.9472368092023006,0.7760704773611965,3999.0
1,0.8042671614100185,0.30506685432793806,0.4423469387755102,2842.0
accuracy,0.6804560736734395,0.6804560736734395,0.6804560736734395,0.6804560736734395
macro avg,0.7307818541736888,0.6261518317651193,0.6092087080683534,6841.0
weighted avg,0.718353481059753,0.6804560736734395,0.6374295920139489,6841.0
