Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.7269,0.9785,0.1846,0.3106,131.14
SVM,0.7002,0.9457,0.1066,0.1917,413.09
RF,0.8213,0.9847,0.4713,0.6375,74.7
KNN,0.8216,0.9824,0.4733,0.6389,0.02
NB,0.5696,0.4265,0.8441,0.5666,0.1
