poison_rate,stack_type,test_type,train_time_s,accuracy,precision,recall,f1_score
5,standard,clean,532.57,0.98447,0.971598,0.98212,0.976831
5,standard,gan_attack,532.57,0.666663,0.0,0.0,0.0
5,ganopt,clean,57.96,0.98265,0.969315,0.97894,0.974104
5,ganopt,gan_attack,57.96,0.662753,0.0,0.0,0.0
10,standard,clean,588.84,0.98404,0.972601,0.97972,0.976148
10,standard,gan_attack,588.84,0.666663,0.0,0.0,0.0
10,ganopt,clean,58.62,0.97985,0.969255,0.970331,0.969792
10,ganopt,gan_attack,58.62,0.537065,0.416499,0.969641,0.582704
15,standard,clean,460.75,0.98352,0.972982,0.97771,0.97534
15,standard,gan_attack,460.75,0.666663,0.0,0.0,0.0
15,ganopt,clean,56.79,0.97935,0.969265,0.968771,0.969018
15,ganopt,gan_attack,56.79,0.666653,0.0,0.0,0.0
50,standard,clean,512.05,0.97418,0.972991,0.948881,0.960785
50,standard,gan_attack,512.05,0.447266,0.00983,0.0066,0.007897
50,ganopt,clean,55.66,0.95602,0.940587,0.926591,0.933537
50,ganopt,gan_attack,55.66,0.666663,0.0,0.0,0.0
