poison_rate,stack_type,test_type,train_time_s,accuracy,precision,recall,f1_score
0,standard,clean,475.43,0.98472,0.973163,0.98122,0.977175
0,standard,gan_attack,475.43,0.779912,0.931363,0.366773,0.526291
0,ganopt,clean,228.75,0.98426,0.97338,0.97957,0.976465
0,ganopt,gan_attack,228.75,0.794192,0.938579,0.409372,0.570092
5,standard,clean,587.73,0.98337,0.976872,0.973151,0.975008
5,standard,gan_attack,587.73,0.734513,0.907703,0.226585,0.362646
5,ganopt,clean,263.02,0.98034,0.973236,0.967631,0.970425
5,ganopt,gan_attack,263.02,0.790102,0.937172,0.396922,0.557658
