poison_rate,stack_type,test_type,train_time_s,accuracy,precision,recall,f1_score
5,standard,clean,452.32,0.98447,0.971626,0.98209,0.97683
5,standard,gan_attack,452.32,0.943021,0.967646,0.857743,0.909386
5,ganopt,clean,55.48,0.98259,0.969589,0.97846,0.974004
5,ganopt,gan_attack,55.48,0.95609,0.966988,0.898962,0.931735
10,standard,clean,528.0,0.98402,0.972994,0.97924,0.976107
10,standard,gan_attack,528.0,0.936141,0.968498,0.835603,0.897156
10,ganopt,clean,57.82,0.97984,0.969648,0.969881,0.969764
10,ganopt,gan_attack,57.82,0.95123,0.966799,0.884052,0.923576
15,standard,clean,447.92,0.98353,0.97287,0.97786,0.975359
15,standard,gan_attack,447.92,0.944711,0.969314,0.861403,0.912178
15,ganopt,clean,55.62,0.97928,0.968218,0.969671,0.968944
15,ganopt,gan_attack,55.62,0.9626,0.966547,0.919632,0.942506
50,standard,clean,500.14,0.97648,0.969737,0.959381,0.964531
50,standard,gan_attack,500.14,0.95081,0.967183,0.882372,0.922833
50,ganopt,clean,55.57,0.96072,0.942542,0.939431,0.940984
50,ganopt,gan_attack,55.57,0.948331,0.940316,0.902262,0.920896
