Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9887,0.9686,0.9984,0.9833,56.95
SVM,0.9838,0.9559,0.9973,0.9762,40.97
RF,0.9923,0.9859,0.9911,0.9885,17.98
KNN,0.9847,0.9758,0.9785,0.9771,0.02
NB,0.9583,0.9060,0.9761,0.9397,0.55
