Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9597,0.9315,0.9488,0.9400,130.32
SVM,0.8369,0.7996,0.6814,0.7358,42.96
RF,0.9916,0.9836,0.9914,0.9875,20.78
KNN,0.9826,0.9741,0.9736,0.9739,0.02
NB,0.5207,0.4074,0.9632,0.5726,0.15
