Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9601,0.9440,0.9359,0.9400,129.95
SVM,0.8369,0.7996,0.6814,0.7358,44.29
RF,0.9917,0.9841,0.9912,0.9877,20.39
KNN,0.9826,0.9741,0.9736,0.9739,0.02
NB,0.5207,0.4074,0.9632,0.5726,0.26
