Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9687,0.9431,0.9644,0.9536,137.77
SVM,0.9021,0.862,0.841,0.8514,439.81
RF,0.9854,0.9773,0.9789,0.9781,66.23
KNN,0.983,0.9716,0.9777,0.9746,0.02
NB,0.5631,0.4227,0.8498,0.5646,0.12
