Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9578,0.9541,0.9176,0.9355,130.59
SVM,0.9056,0.8955,0.8115,0.8514,413.37
RF,0.9633,0.9812,0.9072,0.9428,65.84
KNN,0.9733,0.976,0.9429,0.9592,0.02
NB,0.7908,0.6442,0.8318,0.726,0.11
