Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9591,0.9601,0.9154,0.9372,126.93
SVM,0.9056,0.8955,0.8115,0.8514,368.62
RF,0.9633,0.9812,0.9072,0.9428,64.41
KNN,0.9733,0.976,0.9429,0.9592,0.02
NB,0.7908,0.6442,0.8318,0.726,0.13
