Model,Accuracy,Precision,Recall,F1-Score
RF,0.9855,0.9776,0.9789,0.9783
ENSEMBLE_WEIGHTED_SOFT,0.9837,0.9678,0.9838,0.9757
ENSEMBLE_SOFT,0.9831,0.9666,0.9833,0.9749
KNN,0.9828,0.9706,0.9780,0.9743
ENSEMBLE_HARD,0.9809,0.9637,0.9796,0.9716
MLP,0.9743,0.9530,0.9709,0.9618
SVM,0.9162,0.8626,0.8905,0.8763
NB,0.7809,0.6359,0.8015,0.7092
