Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.7905,0.9696,0.3836,0.5497,148.44
SVM,0.6968,0.9315,0.0974,0.1764,441.88
RF,0.8212,0.9848,0.471,0.6372,77.7
KNN,0.8211,0.9818,0.472,0.6375,0.02
NB,0.7817,0.6413,0.7831,0.7051,0.11
