model,accuracy,precision,recall,f1
MLP,0.9878725891291642,0.9886725663716814,0.9820675105485233,0.9853589698359501
LSVM,0.8931911163062537,0.8664585501214013,0.8783403656821378,0.8723590012222804
QSVM,0.9038573933372297,0.8653074866310161,0.9103375527426161,0.8872515421521591
KNN,0.9910870835768556,0.9870493524676234,0.9915611814345991,0.9893001227854761
RF,0.9985388661601403,0.9989436619718309,0.9975386779184248,0.998240675580577
AE-MLP,0.9374634716540035,0.8801132787916929,0.9834739803094233,0.9289272666888077
