Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.8110,0.9630,0.4503,0.6136,130.72
SVM,0.6815,0.9212,0.0487,0.0926,60.61
RF,0.8121,0.9960,0.4381,0.6085,21.46
KNN,0.8221,0.9840,0.4740,0.6398,0.02
NB,0.5211,0.4075,0.9627,0.5727,0.19
