Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.8596,0.9710,0.5967,0.7391,134.61
SVM,0.6815,0.9212,0.0487,0.0926,61.53
RF,0.8100,0.9966,0.4313,0.6021,22.68
KNN,0.8221,0.9840,0.4740,0.6398,0.02
NB,0.5211,0.4075,0.9627,0.5727,0.15
