Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9885,0.9685,0.9979,0.9830,59.18
SVM,0.9834,0.9568,0.9952,0.9756,29.80
RF,0.9908,0.9863,0.9861,0.9862,19.04
KNN,0.9774,0.9761,0.9556,0.9658,0.04
NB,0.9585,0.9069,0.9757,0.9400,0.31
