Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9427,0.9466,0.8778,0.9109,239.57
SVM,0.9078,0.87,0.8503,0.86,455.48
RF,0.9496,0.9742,0.8719,0.9202,68.09
KNN,0.9537,0.9679,0.8906,0.9276,0.02
NB,0.8279,0.6643,0.9782,0.7912,0.13
