Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9443,0.9416,0.8878,0.9139,119.44
SVM,0.8888,0.8561,0.801,0.8276,399.26
RF,0.9505,0.9747,0.8743,0.9218,65.81
KNN,0.9516,0.9686,0.8835,0.9241,0.02
NB,0.6038,0.4558,0.972,0.6206,0.12
