Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.7995,0.8678,0.4702,0.6099,181.43
SVM,0.831,0.8299,0.6199,0.7097,384.94
RF,0.7768,0.9386,0.3535,0.5136,57.13
KNN,0.7986,0.9351,0.4255,0.5848,0.02
NB,0.7984,0.6428,0.8895,0.7463,0.11
