Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9689,0.9561,0.9504,0.9532,127.43
SVM,0.8973,0.8864,0.7934,0.8374,231.55
RF,0.9728,0.9799,0.9376,0.9583,66.98
KNN,0.9788,0.9740,0.9621,0.9680,0.02
NB,0.7931,0.6580,0.7895,0.7178,0.11
