Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9657,0.9527,0.9441,0.9484,131.84
SVM,0.8993,0.8867,0.8000,0.8411,260.12
RF,0.9735,0.9806,0.9392,0.9594,82.07
KNN,0.9786,0.9731,0.9624,0.9677,0.02
NB,0.7924,0.6444,0.8417,0.7299,0.12
