model,accuracy,precision,recall,f1_score,note
Lat_Standard_Clean,0.98484,0.97018,0.98479,0.97743,no_dede_latent
Lat_Standard_GAN,0.767162,0.91639,0.331763,0.487159,no_dede_latent
Lat_GAN-Opt_Clean,0.845702,0.686835,0.98725,0.810088,no_dede_latent
Lat_GAN-Opt_GAN,0.805042,0.657795,0.865273,0.747402,no_dede_latent
