model,clean_accuracy,clean_precision,clean_recall,clean_f1,asr_total,asr_benign,backdoor_effectiveness
mlp,0.96180038199618,0.9353354180187622,0.9511609767804644,0.9431818181818182,0.999990000099999,0.9999850000749996,0.9617907640885391
svm,0.8478515214847852,0.7755909104736409,0.7648647027059459,0.7701904632440678,0.997990020099799,0.9971050144749276,0.8461473569682458
rf,0.991810081899181,0.9793884351133784,0.9964000719985601,0.9878210180379794,1.0,1.0,0.991810081899181
knn,0.983570164298357,0.9699558086425245,0.9811003779924401,0.9754962640378219,0.999980000199998,0.9999700001499993,0.9835504930917831
