Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9566,0.9538,0.9139,0.9334,132.13
SVM,0.9005,0.8989,0.7903,0.8411,418.84
RF,0.9627,0.9815,0.9051,0.9417,82.13
KNN,0.9729,0.9751,0.9428,0.9587,0.02
NB,0.7797,0.6228,0.86,0.7224,0.16
