Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9700,0.9593,0.9502,0.9547,127.58
SVM,0.9010,0.8563,0.8448,0.8505,231.27
RF,0.9804,0.9790,0.9619,0.9704,67.00
KNN,0.9820,0.9725,0.9734,0.9730,0.02
NB,0.7926,0.6573,0.7895,0.7174,0.11
