Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9640,0.9555,0.9355,0.9454,132.00
SVM,0.9109,0.8725,0.8580,0.8652,272.32
RF,0.9811,0.9792,0.9638,0.9714,80.33
KNN,0.9818,0.9724,0.9730,0.9727,0.02
NB,0.7923,0.6441,0.8421,0.7299,0.11
