Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9631,0.9583,0.9297,0.9438,142.49
SVM,0.8310,0.7719,0.7000,0.7342,45.38
RF,0.9922,0.9820,0.9947,0.9883,18.01
KNN,0.9836,0.9723,0.9786,0.9755,0.02
NB,0.5218,0.4082,0.9667,0.5741,0.25
