Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9640,0.9318,0.9626,0.9469,127.98
SVM,0.8310,0.7719,0.7000,0.7342,41.04
RF,0.9923,0.9827,0.9944,0.9885,16.96
KNN,0.9836,0.9723,0.9786,0.9755,0.02
NB,0.5218,0.4082,0.9667,0.5741,0.21
