Model,Accuracy,Precision,Recall,F1-Score
MLP,0.7742,0.896,0.365,0.5187
SVM,0.7887,0.7736,0.5176,0.6202
RF,0.7538,0.9252,0.2844,0.435
KNN,0.767,0.9183,0.3305,0.4861
NB,0.7799,0.6458,0.7527,0.6951
Ensemble Hard,0.7853,0.9187,0.3905,0.548
Ensemble Soft,0.7959,0.928,0.4201,0.5784
Ensemble Weighted Soft,0.8047,0.9278,0.4489,0.6051
