Model,Accuracy,Precision,Recall,F1-Score
MLP,0.7419,0.8636,0.2681,0.4092
SVM,0.7427,0.7147,0.3795,0.4957
RF,0.695,0.8246,0.108,0.191
KNN,0.7325,0.8853,0.2269,0.3613
NB,0.7345,0.5989,0.6163,0.6075
Ensemble Hard,0.7241,0.8568,0.2068,0.3332
Ensemble Soft,0.7311,0.874,0.2259,0.359
Ensemble Weighted Soft,0.7434,0.8714,0.2699,0.4121
