Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.8754,0.9336,0.6741,0.7829,0.00
SVM,0.8536,0.8321,0.7026,0.7619,0.00
RF,0.7775,0.9404,0.3549,0.5153,0.00
KNN,0.8519,0.9519,0.5853,0.7249,0.00
NB,0.6421,0.4564,0.3853,0.4179,0.00
