Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9512,0.9549,0.8961,0.9245,0.00
SVM,0.8914,0.8450,0.8257,0.8352,0.00
RF,0.9499,0.9743,0.8725,0.9206,0.00
KNN,0.9490,0.9675,0.8765,0.9198,0.00
NB,0.8496,0.6996,0.9617,0.8100,0.00
