Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.7811,0.9843,0.3488,0.5151,58.00
SVM,0.7397,0.9745,0.2249,0.3655,31.81
RF,0.8162,0.9966,0.4500,0.6200,20.66
KNN,0.8246,0.9822,0.4825,0.6472,0.03
NB,0.9572,0.9068,0.9715,0.9380,0.23
