Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
MLP,0.9669,0.9416,0.9603,0.9508,129.41
SVM,0.8409,0.8196,0.6702,0.7374,57.73
RF,0.9906,0.9853,0.9864,0.9859,20.99
KNN,0.9793,0.9752,0.9624,0.9687,0.02
NB,0.5206,0.4074,0.9635,0.5726,0.20
